download_date,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
2026-03-19 04:56:20,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",19-03-2026 08:00:00,16.536107,80.594233,CO,20,42,20
2026-03-19 04:56:20,India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",19-03-2026 08:00:00,16.486692,80.699436,PM10,40,230,57
2026-03-19 04:56:20,India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",19-03-2026 08:00:00,16.486692,80.699436,NO2,8,28,19
2026-03-19 04:56:20,India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",19-03-2026 08:00:00,16.486692,80.699436,OZONE,10,73,48
2026-03-19 04:56:20,India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",19-03-2026 08:00:00,16.554731,80.649110,OZONE,13,35,14
2026-03-19 04:56:20,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",19-03-2026 08:00:00,17.72,83.3,PM2.5,2,48,24
2026-03-19 04:56:20,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",19-03-2026 08:00:00,17.72,83.3,OZONE,4,20,5
2026-03-19 04:56:20,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",19-03-2026 08:00:00,27.103358,93.679645,CO,8,22,11
2026-03-19 04:56:20,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",19-03-2026 08:00:00,26.071318,91.87488,PM10,44,182,95
2026-03-19 04:56:20,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",19-03-2026 08:00:00,26.446912,91.439057,NO2,13,15,14
2026-03-19 04:56:20,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",19-03-2026 08:00:00,26.446912,91.439057,OZONE,8,17,13
2026-03-19 04:56:20,India,Assam,Silchar,"Tarapur, Silchar - PCBA",19-03-2026 08:00:00,24.82827,92.79525,PM2.5,18,83,43
2026-03-19 04:56:20,India,Assam,Silchar,"Tarapur, Silchar - PCBA",19-03-2026 08:00:00,24.82827,92.79525,NH3,1,1,1
2026-03-19 04:56:20,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",19-03-2026 08:00:00,26.987634,94.636574,PM2.5,16,24,20
2026-03-19 04:56:20,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",19-03-2026 08:00:00,26.987634,94.636574,NO2,22,41,31
2026-03-19 04:56:20,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",19-03-2026 08:00:00,26.146529,87.454184,NH3,4,4,4
2026-03-19 04:56:20,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",19-03-2026 08:00:00,26.146529,87.454184,OZONE,9,11,10
2026-03-19 04:56:20,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",19-03-2026 08:00:00,24.75746,84.366208,PM2.5,3,40,16
2026-03-19 04:56:20,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",19-03-2026 08:00:00,24.75746,84.366208,NO2,7,8,8
2026-03-19 04:56:20,India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",19-03-2026 08:00:00,14.438164 ,79.966814 ,PM2.5,NA,NA,NA
2026-03-19 04:56:20,India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",19-03-2026 08:00:00,14.438164 ,79.966814 ,PM10,NA,NA,NA
2026-03-19 04:56:20,India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",19-03-2026 08:00:00,14.438164 ,79.966814 ,OZONE,4,20,12
2026-03-19 04:56:20,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",19-03-2026 08:00:00,16.9872867,81.7363176,SO2,4,14,8
2026-03-19 04:56:20,India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",19-03-2026 08:00:00,13.67,79.35,NO2,52,100,72
2026-03-19 04:56:20,India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",19-03-2026 08:00:00,13.67,79.35,SO2,1,10,5
2026-03-19 04:56:20,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",19-03-2026 08:00:00,13.615387,79.409230,NO2,27,36,31
2026-03-19 04:56:20,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",19-03-2026 08:00:00,16.536107,80.594233,SO2,12,23,14
2026-03-19 04:56:20,India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",19-03-2026 08:00:00,25.567520,83.966379,CO,21,28,23
2026-03-19 04:56:20,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",19-03-2026 08:00:00,25.7808257,84.7446768,PM2.5,38,207,89
2026-03-19 04:56:20,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",19-03-2026 08:00:00,25.7808257,84.7446768,OZONE,4,30,5
2026-03-19 04:56:20,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",19-03-2026 08:00:00,24.792403,84.992416,PM2.5,55,183,100
2026-03-19 04:56:20,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",19-03-2026 08:00:00,24.792403,84.992416,PM10,129,288,189
2026-03-19 04:56:20,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",19-03-2026 08:00:00,24.792403,84.992416,NH3,1,2,1
2026-03-19 04:56:20,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",19-03-2026 08:00:00,24.762518,84.982348,OZONE,10,74,15
2026-03-19 04:56:20,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",19-03-2026 08:00:00,25.560083,87.553265,SO2,12,20,17
2026-03-19 04:56:20,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",19-03-2026 08:00:00,26.1209,85.3647,NO2,8,24,15
2026-03-19 04:56:20,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",19-03-2026 08:00:00,26.1209,85.3647,SO2,4,67,11
2026-03-19 04:56:20,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",19-03-2026 08:00:00,25.586562,85.043586,NH3,10,12,11
2026-03-19 04:56:20,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",19-03-2026 08:00:00,25.586562,85.043586,SO2,5,8,7
2026-03-19 04:56:20,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",19-03-2026 08:00:00,25.592539,85.227158,CO,3,88,15
2026-03-19 04:56:20,India,Bihar,Patna,"Muradpur, Patna - BSPCB",19-03-2026 08:00:00,25.619651,85.147382,PM2.5,55,91,69
2026-03-19 04:56:20,India,Bihar,Patna,"Muradpur, Patna - BSPCB",19-03-2026 08:00:00,25.619651,85.147382,SO2,7,9,8
2026-03-19 04:56:20,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",19-03-2026 08:00:00,25.599486,85.113666,PM2.5,92,139,116
2026-03-19 04:56:20,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",19-03-2026 08:00:00,26.0881305,87.93840336,PM10,33,208,72
2026-03-19 04:56:20,India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",19-03-2026 08:00:00,27.308328,84.531742,NH3,NA,NA,NA
2026-03-19 04:56:20,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",19-03-2026 08:00:00,26.63086,84.90051,SO2,2,3,2
2026-03-19 04:56:20,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",19-03-2026 08:00:00,26.63086,84.90051,CO,18,48,21
2026-03-19 04:56:20,India,Bihar,Munger,"Town Hall, Munger - BSPCB",19-03-2026 08:00:00,25.376776,86.471523,NO2,4,5,5
2026-03-19 04:56:20,India,Bihar,Munger,"Town Hall, Munger - BSPCB",19-03-2026 08:00:00,25.376776,86.471523,OZONE,8,15,10
2026-03-19 04:56:20,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",19-03-2026 08:00:00,26.11442,85.39813,CO,19,108,38
2026-03-19 04:56:20,India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",19-03-2026 08:00:00,16.711754,81.092095,NO2,10,59,29
2026-03-19 04:56:20,India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",19-03-2026 08:00:00,16.711754,81.092095,NH3,1,3,2
2026-03-19 04:56:20,India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",19-03-2026 08:00:00,16.316553,80.413302,NH3,4,6,5
2026-03-19 04:56:20,India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",19-03-2026 08:00:00,16.316553,80.413302,SO2,9,24,13
2026-03-19 04:56:20,India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",19-03-2026 08:00:00,16.316553,80.413302,OZONE,20,45,20
2026-03-19 04:56:20,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",19-03-2026 08:00:00,14.465052,78.824187,NH3,3,5,4
2026-03-19 04:56:20,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",19-03-2026 08:00:00,14.465052,78.824187,OZONE,21,27,22
2026-03-19 04:56:20,India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",19-03-2026 08:00:00,16.186555,81.13219,NO2,7,16,12
2026-03-19 04:56:20,India,Assam,Guwahati,"IITG, Guwahati - PCBA",19-03-2026 08:00:00,26.2028636,91.70046436,CO,5,10,6
2026-03-19 04:56:20,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",19-03-2026 08:00:00,26.181742,91.78063,NH3,1,1,1
2026-03-19 04:56:20,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",19-03-2026 08:00:00,26.349082,92.68449,PM2.5,36,112,58
2026-03-19 04:56:20,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",19-03-2026 08:00:00,26.349082,92.68449,CO,10,23,22
2026-03-19 04:56:20,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",19-03-2026 08:00:00,26.446912,91.439057,PM10,NA,NA,NA
2026-03-19 04:56:20,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",19-03-2026 08:00:00,16.5150833,80.5181667,PM2.5,NA,NA,NA
2026-03-19 04:56:20,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",19-03-2026 08:00:00,16.5150833,80.5181667,CO,NA,NA,NA
2026-03-19 04:56:20,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",19-03-2026 08:00:00,16.5150833,80.5181667,OZONE,NA,NA,NA
2026-03-19 04:56:20,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",19-03-2026 08:00:00,14.675886,77.593027,OZONE,25,43,40
2026-03-19 04:56:20,India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",19-03-2026 08:00:00,16.711754,81.092095,PM10,34,80,47
2026-03-19 04:56:20,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",19-03-2026 08:00:00,25.42742023,86.13886079,CO,25,31,28
2026-03-19 04:56:20,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",19-03-2026 08:00:00,25.42742023,86.13886079,OZONE,34,58,43
2026-03-19 04:56:20,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",19-03-2026 08:00:00,25.265194,87.012947,CO,78,95,87
2026-03-19 04:56:20,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",19-03-2026 08:00:00,25.265194,87.012947,OZONE,6,34,10
2026-03-19 04:56:20,India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",19-03-2026 08:00:00,22.348441,82.549611,NH3,1,1,1
